,word,link,sentence,synonyms,synset
1969,laid+back,sign/laid+back/8276/1,Life in Hawaii is more laid back.,"['CAREFREE', 'CASUAL (as in ""laid back"")', 'EASY GOING', 'GO WITH THE FLOW', 'GOOD NATURED', 'LET YOUR HAIR DOWN', 'LOAF (as in ""lazy"")', 'VEG (as in ""to relax"")']",
1970,laid+up,sign/laid+up/1664/1,,"['SICK', 'SICKENED']",
1971,laity,sign/laity/6427/1,,"['FOLK (as in ""people"")', 'HUMANITY', 'HUMANS', 'LAYPERSON', 'MANKIND', 'PEOPLE', 'POPULATION', 'REPUBLIC']",
1972,lake,sign/lake/1665/1,,[],
1973,lake+effect,sign/lake+effect/13982/1,Lake‑effect snow impacts states in the snowbelt.,[],
1974,lake+erie,sign/lake+erie/13996/1,You can see Lake Erie from the rollercoasters at Cedar Point.,[],
1975,lake+huron,sign/lake+huron/13995/1,Lake Huron is very cold.,[],
1976,lake+michigan,sign/lake+michigan/13994/1,Lake Michigan is frozen with ice.,[],
1977,lake+ontario,sign/lake+ontario/13998/1,Lake Ontario is cold.,[],
1978,lake+superior,sign/lake+superior/13997/1,Lake Superior is very deep.,[],
1979,lam,sign/lam/10538/1,,"['BOLT (as in ""run or escape"")', 'ESCAPE', 'EXIT', 'EXODUS (as in ""exit"")', 'EXODUS (as in ""the Jewish exodus from Egypt"")', 'FAST BREAK (as in ""in sports"")', 'FLEE (as in ""to leave"")', 'FLIGHT (as in ""on the run"")', 'FUGITIVE', 'OFF (as in ""to take off or leave"")', 'ON THE LAM', 'RAN AWAY', 'RETREAT (as in ""to leave"")', 'RUN (as in ""escape"")', 'RUN AWAY (as in ""run away"")', 'RUN OFF (as in ""to run away"")', 'TAKE OFF (as in ""to leave"")']",
1980,lamb,sign/lamb/1667/1,We should have some new lambs this spring.,"['COSSET (as in ""a young sheep"")', 'LAMBKIN (as in ""a young sheep"")']",Synset('lamb.v.01')
1981,lambkin,sign/lambkin/10354/1,,[],
1982,lamp,sign/lamp/1669/1,,[],
1983,lanai,sign/lanai/11882/1,,[],
1984,land,sign/land/1671/1,,"['ASHORE (as in ""land"")', 'FIELD (as in ""land or area"")', 'GARDEN', 'GROUND', 'MEADOW', 'PROPERTY', 'SOIL', 'TERRITORY (as in ""an area of land"")']",
1985,land+as+far+as+the+eye+can+see,sign/land+as+far+as+the+eye+can+see/14740/1,In the desert there is land as far as the eye can see.,"['FLATLANDS', 'PLAINS (as in ""a large area of flat lands with few trees"")']",
1986,landscaping,sign/landscaping/9901/1,,"['BACKGROUND (as in ""something behind the main subject"")']",
1987,lane,sign/lane/5065/1,,"['AISLE', 'AVENUE (as in ""a road or address"")', 'BOULEVARD', 'DRIVE (as in ""a street or address"")', 'ROAD', 'ROUTE', 'STREET']",
1988,language,sign/language/229/1,American Sign Language was recognized as a true language in 1965.,"['TONGUE (as in ""language"")']",Synset('terminology.n.01')
1989,language,sign/language/229/1,I am taking the class for fun. I like to learn new languages.,"['TONGUE (as in ""language"")']",Synset('terminology.n.01')
1990,lansing,sign/lansing/8563/1,Lansing is the capital of Michigan.,[],Synset('lansing.n.01')
1991,lantern,sign/lantern/1672/1,,[],
1992,laos,sign/laos/11734/1,,[],
1993,lap,sign/lap/1673/1,,[],
1994,lap,sign/lap/10374/1,,[],
1995,lapse,sign/lapse/3768/1,,"['DISAPPEAR', 'EXTINCT', 'GONE (as in ""missing"")', 'MISSING (as in ""gone"")', 'OBSOLETE (as in ""no longer useful"")']",
1996,laptop,sign/laptop/7020/1,,"['NOTEBOOK (as in ""a type of computer"")']",
1997,large,sign/large/3769/1,,"['BIG (as in ""large or big horizontally"")', 'ENLARGE', 'MAGNITUDE (as in ""large"")']",
1998,large,sign/large/12840/1,I want a large ice tea.,[],Synset('large.s.06')
1999,large+chested,sign/large+chested/10878/1,,"['BIG SHOULDERS', 'BUFF', 'BUILT (as in ""a fit physical build of a person"")', 'FIT (as in ""healthy"")', 'HARD BODY', 'HULK (as in ""buff"")', 'HULK (as in ""the superhero"")', 'HUSKY (as in ""a fit physical build of a person"")', 'LARGE SHOULDERS', 'MUSCULAR']",
2000,large+shoulders,sign/large+shoulders/10881/1,,"['BIG SHOULDERS', 'BUFF', 'BUILT (as in ""a fit physical build of a person"")', 'FIT (as in ""healthy"")', 'HARD BODY', 'HULK (as in ""buff"")', 'HULK (as in ""the superhero"")', 'HUSKY (as in ""a fit physical build of a person"")', 'LARGE CHESTED (as in ""a fit physical build of a person"")', 'MUSCULAR']",
2001,larger,sign/larger/10239/1,,"['BIGGER', 'BIGGEST', 'COLOSSAL', 'ENORMOUS', 'EXTENSIVE', 'GIANT (as in ""gigantic or huge"")', 'GIGANTIC', 'GREAT (as in ""big or large"")', 'GROW BIG', 'HUGE', 'HUMONGOUS', 'IMMENSE', 'JUMBO', 'LARGEST', 'MAGNITUDE (as in ""large"")', 'STUPENDOUS (as in ""great or very large"")', 'TREMENDOUS (as in ""great or very large"")', 'VAST']",
2002,larger+build,sign/larger+build/10882/1,,"['ATHENA (as in ""a plus size female athlete"")', 'CHUBBY', 'FAT (as in ""overweight"")', 'PLEASANTLY PLUMP', 'PLUMP', 'PLUS SIZE', 'STOUT']",
2003,largest,sign/largest/10238/1,,"['BIGGER', 'BIGGEST', 'COLOSSAL', 'ENORMOUS', 'EXTENSIVE', 'GIANT (as in ""gigantic or huge"")', 'GIGANTIC', 'GREAT (as in ""big or large"")', 'GROW BIG', 'HUGE', 'HUMONGOUS', 'IMMENSE', 'JUMBO', 'LARGER', 'MAGNITUDE (as in ""large"")', 'STUPENDOUS (as in ""great or very large"")', 'TREMENDOUS (as in ""great or very large"")', 'VAST']",
2004,larry,sign/larry/10697/1,Larry is my best friend.,[],
2005,larva,sign/larva/10359/1,,[],
2006,larva,sign/larva/1675/1,,"['LARVA (as in ""a young bee"")']",
2007,laryngitis,sign/laryngitis/11995/1,,[],
2008,larynx,sign/larynx/2749/1,,[],
2009,las+vegas,sign/las+vegas/8949/1,I hope when I go to Las Vegas that I get a 7 or 11 when I roll the dice.,[],
2010,lasagna,sign/lasagna/8971/1,Growing up we ate lasagna every Friday night.,[],Synset('lasagna.n.02')
2011,last,sign/last/3770/1,Jeff is the last person in line to buy tickets for the game.,"['END', 'FINAL', 'OMEGA (as in ""last"")']",Synset('survive.v.01')
2012,last,sign/last/5419/1,I watched a boring movie last night and fell asleep.,"['AGO (as in ""in the more recent past- a few minutes ago, a short time ago, or a little while ago"")', 'BACK (as in ""previously, in the past"")', 'BEFORE (as in ""the past"")', 'PAST', 'PREVIOUSLY', 'USED TO (as in ""used to or in the past"")', 'WAS', 'WERE (as in ""second person singular past or plural past"")']",Synset('end.n.03')
2013,last,sign/last/5419/1,I saw a fancy gingerbread house on my cruise last Christmas.,"['AGO (as in ""in the more recent past- a few minutes ago, a short time ago, or a little while ago"")', 'BACK (as in ""previously, in the past"")', 'BEFORE (as in ""the past"")', 'PAST', 'PREVIOUSLY', 'USED TO (as in ""used to or in the past"")', 'WAS', 'WERE (as in ""second person singular past or plural past"")']",Synset('last.r.01')
2014,last,sign/last/5419/1,My family went raspberry picking last weekend.,"['AGO (as in ""in the more recent past- a few minutes ago, a short time ago, or a little while ago"")', 'BACK (as in ""previously, in the past"")', 'BEFORE (as in ""the past"")', 'PAST', 'PREVIOUSLY', 'USED TO (as in ""used to or in the past"")', 'WAS', 'WERE (as in ""second person singular past or plural past"")']",Synset('survive.v.01')
2015,last,sign/last/3771/1,,"['CARRY (as in ""carry through or sustain"")', 'CONTINUE', 'ENDURANCE', 'ENDURE', 'KEEP (as in ""to continue"")', 'KEEP ON', 'LASTING', 'LINGER', 'MAINTAIN', 'PERMANENT', 'PERPETUAL (as in ""never ending "")', 'PERSEVERE', 'PERSIST', 'REMAIN (as in ""continue"")', 'STAY', 'STEADY', 'SUSTAIN', 'SUSTAINABILITY', 'SUSTAINABLE']",
2016,last+inning,sign/last+inning/12481/1,,[],
2017,last+minute,sign/last+minute/9443/1,,[],
2018,last+month,sign/last+month/8899/1,My daughter joined the Coast Guard last month.,"['FOUR WEEKS AGO (as in ""4 weeks in the past"")', 'ONE MONTH AGO']",
2019,last+week,sign/last+week/609/1,We visited a lighthouse on our vacation last week.,[],
2020,last+year,sign/last+year/1677/1,,['ONE YEAR AGO'],
2021,lasting,sign/lasting/6383/1,,"['CARRY (as in ""carry through or sustain"")', 'CONTINUE', 'ENDURANCE', 'ENDURE', 'KEEP (as in ""to continue"")', 'KEEP ON', 'LAST (as in ""to continue"")', 'LINGER', 'MAINTAIN', 'PERMANENT', 'PERPETUAL (as in ""never ending "")', 'PERSEVERE', 'PERSIST', 'REMAIN (as in ""continue"")', 'STAY', 'STEADY', 'SUSTAIN', 'SUSTAINABILITY', 'SUSTAINABLE']",
2022,late,sign/late/293/1,"If you are late for class, it's curtains for you because you can't get in.","['BEHIND (as in ""late or behind time"")', 'TARDY']",Synset('recently.r.01')
2023,late,sign/late/12901/1,I will be late to the meeting.,['SHIP HAS SAILED'],Synset('recently.r.01')
2024,lately,sign/lately/3772/1,,"['AGO (as in ""in the more recent past- a few minutes ago, a short time ago, or a little while ago"")', 'JUST (as in ""recently"")', 'RECENTLY']",
2025,later,sign/later/610/1,,"['FUTURE (as in ""near future"")', 'SHALL', 'SOMEDAY', 'SOMETIME (as in ""an unspecified time"")', 'THIS (as in ""in the near future"")', 'WILL (as in ""expression of future tense"")', 'WOULD']",
2026,latin,sign/latin/8712/1,My husband is Latin American.,['LATIN AMERICAN'],Synset('romance.a.01')
2027,latin,sign/latin/6876/1,,[],
2028,latin+america,sign/latin+america/8711/1,My family is from Latin America.,[],
2029,latin+american,sign/latin+american/8713/1,Jose is Latin American.,"['LATIN (as in ""the ethnicity, a person from"")']",
2030,latino,sign/latino/5099/1,,[],
2031,latter+day+saints,sign/latter+day+saints/6451/1,,[],
2032,latvia,sign/latvia/11665/1,,[],
2033,laugh,sign/laugh/1680/1,I laughed and laughed during the movie because it was funny.,['LAUGHTER'],Synset('joke.n.01')
2034,laugh+at,sign/laugh+at/3773/1,,"['JEER', 'MOCK (as in ""mocking someone"")', 'RIDICULE', 'SCORN']",
2035,laughter,sign/laughter/3774/1,Amy's jokes always make everyone laugh.,['LAUGH'],Synset('laughter.n.02')
2036,launch,sign/launch/1681/1,,[],
2037,launch,sign/launch/11972/1,,"['BEGIN (as in ""to start"")', 'BEGINNING (as in ""starting"")', 'BEGINS (as in ""action"")', 'COMMENCE', 'EMERGING', 'IGNITE (as in ""start"")', 'INDUCE', 'INITIATE', 'INSTITUTED (as in ""to begin or introduce "")', 'ONSET', 'ORIGIN', 'ORIGINAL', 'ORIGINATE (as in ""start"")', 'ORIGINATION', 'SOURCE', 'START']",
2038,launch,sign/launch/11973/1,,"['BLAST OFF', 'ROCKET LAUNCH']",
2039,launch,sign/launch/12032/1,,"['BOMBS', 'FIRECRACKERS', 'FIREWORKS']",
2040,launder,sign/launder/14467/1,Will you launder my clothes?,"['LAUNDER CLOTHES', 'LAUNDRY', 'WASH (as in ""to wash clothes"")', 'WASH CLOTHES']",Synset('wash.v.03')
2041,launder+clothes,sign/launder+clothes/14468/1,I hate to launder clothes.,"['LAUNDER', 'LAUNDRY', 'WASH (as in ""to wash clothes"")', 'WASH CLOTHES']",
2042,laundry,sign/laundry/232/1,I lost a sock in the laundry.,"['WASHER (as in ""washing machine"")', 'WASHING MACHINE']",Synset('laundry.n.02')
2043,laurent+clerc,sign/laurent+clerc/9017/1,Laurent Clerc is one of the founders of the first school for the deaf here in America.,[],
2044,lava,sign/lava/1683/1,,[],
2045,law,sign/law/611/1,My son is going to law school at the University of Michigan.,"['COMMAND (as in ""a commandment"")', 'COMMANDMENT', 'IN-LAW (as in ""family relation"")', 'LEGAL', 'LEGITIMATE', 'ORDINANCE', 'STATUTE']",Synset('law.n.06')
2046,law,sign/law/611/1,Frank's minor is law.,"['COMMAND (as in ""a commandment"")', 'COMMANDMENT', 'IN-LAW (as in ""family relation"")', 'LEGAL', 'LEGITIMATE', 'ORDINANCE', 'STATUTE']",Synset('police.n.01')
2047,law,sign/law/611/1,My daughter's favorite class is law.,"['COMMAND (as in ""a commandment"")', 'COMMANDMENT', 'IN-LAW (as in ""family relation"")', 'LEGAL', 'LEGITIMATE', 'ORDINANCE', 'STATUTE']",Synset('police.n.01')
2048,law+enforcement,sign/law+enforcement/12610/1,,"['COP', 'POLICE', 'POLICE OFFICER', 'POLICEMAN', 'POLICEWOMAN', 'SECURITY (as in ""law enforcement"")', 'SECURITY GUARD', 'WATCHMAN']",
2049,lawn,sign/lawn/5144/1,I need to mow my lawn!,[],Synset('lawn.n.01')
2050,lawyer,sign/lawyer/234/1,,['ATTORNEY'],
2051,lay,sign/lay/7924/1,,"['LAY DOWN', 'LIE (as in ""lie down"")', 'LIE DOWN']",
2052,lay+down,sign/lay+down/7925/1,,"['LAY', 'LIE (as in ""lie down"")', 'LIE DOWN']",
2053,lay+off,sign/lay+off/3775/1,,"['ABSOLUTION', 'DISCHARGE', 'DISMISS', 'DISPENSATION', 'EXCUSE (as in ""to exempt"")', 'EXEMPT (as in ""to excuse"")', 'EXPEL', 'LOOPHOLE', 'PARDON', 'REVOKE (as in ""to dismiss"")', 'WAIVE (as in ""dismissed"")']",
2054,lay-up,sign/lay-up/12214/1,,[],
2055,layer,sign/layer/1684/1,,[],
2056,layers,sign/layers/11782/1,,"['PACK (as in ""layers"")']",
2057,layperson,sign/layperson/6426/1,,"['FOLK (as in ""people"")', 'HUMANITY', 'HUMANS', 'LAITY', 'MANKIND', 'PEOPLE', 'POPULATION', 'REPUBLIC']",
2058,lazy,sign/lazy/235/1,"My neighbor is lazy, he never mows the lawn.","['INDOLENCE', 'LOAF (as in ""lazy"")', 'SLOTH (as in ""lazy"")']",Synset('lazy.s.01')
2059,lead,sign/lead/3776/1,,"['CONDUCT (as in ""to manage or lead something"")', 'GUIDE (as in ""to lead"")']",
2060,leader,sign/leader/3777/1,Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month.,"['GUIDE (as in ""a person who leads"")']",Synset('leader.n.01')
2061,leaf,sign/leaf/1686/1,,['LEAVES'],
2062,leaflet,sign/leaflet/5814/1,,"['BOOKLET', 'BROCHURE', 'CATALOG', 'ISSUE (as in ""a magazine or journal"")', 'JOURNAL', 'MAGAZINE', 'MONOGRAPH', 'PAMPHLET']",
2063,league,sign/league/14114/1,My daughter plays in a soccer league every Saturday.,[],Synset('league.v.01')
2064,leak,sign/leak/1687/1,,"['RUN (as in ""water running"")']",
2065,lean,sign/lean/3778/1,,"['GAUNT', 'SKINNY', 'SLIM', 'THIN (as in ""thin person"")']",
2066,leap,sign/leap/5032/1,,"['HOP', 'JUMP']",
2067,leap+year,sign/leap+year/9020/1,Leap Year happens every 4 years.,[],
2068,learn,sign/learn/236/1,You are learning sign language.,"['ACQUIRE (as in ""to learn"")']",Synset('learn.v.01')
2069,learn,sign/learn/236/1,We learn about Abraham Lincoln today in history class.,"['ACQUIRE (as in ""to learn"")']",Synset('teach.v.01')
2070,learn,sign/learn/236/1,I am taking the class for fun. I like to learn new languages.,"['ACQUIRE (as in ""to learn"")']",Synset('learn.v.04')
2071,learn,sign/learn/236/1,"When I was a Girl Scout, I learned how to build a fire.","['ACQUIRE (as in ""to learn"")']",Synset('teach.v.01')
2072,learner,sign/learner/10512/1,,"['PUPIL (as in ""student"")', 'STUDENT']",
2073,learning,sign/learning/3779/1,"Most people think learning ASL is easy peasy, but no, it is challenging.",[],Synset('teach.v.01')
2074,learning+disabled,sign/learning+disabled/10825/1,,['LD'],
2075,leash,sign/leash/5304/1,,[],
2076,least,sign/least/3780/1,My least favorite class in school is geography.,[],Synset('least.r.01')
2077,leather,sign/leather/1688/1,,[],
2078,leave,sign/leave/238/1,,"['ABANDON', 'CAST OFF', 'DISCARD', 'LEFT (as in ""leave behind"")', 'LEFT (as in ""remain"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",
2079,leave,sign/leave/237/1,,"['DEPART', 'DEPARTURE', 'FORSAKE', 'GO (as in ""leave"")', 'OFF (as in ""to take off or leave"")', 'PART (as in ""to separate or leave"")', 'PART (as in ""to go"")', 'TAKE OFF (as in ""to leave"")', 'WITHDRAW (as in ""to depart"")']",
2080,leave+of+absence,sign/leave+of+absence/12435/1,,[],
2081,leaves,sign/leaves/9717/1,We need  to rake the leaves.,['LEAF'],Synset('leaf.v.03')
2082,lebanon,sign/lebanon/11735/1,,[],
2083,lecture,sign/lecture/8138/1,Please don't lecture me about my diet.,"['ADDRESS (as in ""to give a speech"")', 'PRESENT (as in ""to give a speech"")', 'PRESENTATION', 'SERMON (as in ""public affirmation of faith"")', 'SPEECH (as in ""to give a speech"")', 'TALK (as in ""speech or lecture"")', 'TESTIFY (as in ""public affirmation of faith"")', 'TESTIMONY (as in ""public affirmation of faith"")', 'WITNESS (as in ""public affirmation of faith"")']",Synset('lecture.v.01')
2084,lecturer,sign/lecturer/9819/1,"Helen Keller was a famous deaf‑blind woman. She was an author, lecturer, and activist.",['SPEAKER'],Synset('lecturer.n.02')
2085,left,sign/left/1689/1,Yesterday I accidentally left my bag in the grocery cart.,"['ABANDON', 'CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""remain"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",Synset('leave.v.12')
2086,left,sign/left/1690/1,"Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day, rice went into her left ear and when the doctor tried to take it out, he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys.","['LEFT TURN (as in ""a person turning left"")', 'LEFT TURN (as in ""a vehicle turning left"")', 'TURN LEFT (as in ""a person turning left"")', 'TURN LEFT (as in ""a vehicle turning left"")']",Synset('leave.v.08')
2087,left,sign/left/11955/1,I wanted to buy a ticket for the game but they had none left.,"['ABANDON', 'CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""leave behind"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",Synset('leave.v.08')
2088,left,sign/left/11955/1,"At the party there were ten cookies left, so I took two.","['ABANDON', 'CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""leave behind"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",Synset('leave.v.08')
2089,left+field,sign/left+field/12163/1,,[],
2090,left+forward,sign/left+forward/12271/1,,[],
2091,left+hand,sign/left+hand/9862/1,My dad writes with his right hand and throws with his left hand.,"['LEFT-HANDED', 'LEFTY', 'SOUTHPAW']",
2092,left+side,sign/left+side/11228/1,,['SIDE'],
2093,left+turn,sign/left+turn/11556/1,,"['TURN LEFT (as in ""a person turning left"")']",
2094,left+turn,sign/left+turn/11554/1,,"['TURN LEFT (as in ""a vehicle turning left"")']",
2095,left+wing,sign/left+wing/12104/1,,"['DELIVERANCE (as in ""action of being rescued or set free"")', 'FREE (as in ""cost nothing or independent"")', 'FREEDOM', 'INDEPENDENCE', 'INDEPENDENT', 'LIBERAL (as in ""political belief"")', 'LIBERATE', 'LIBERTY', 'REDEEM (as in ""to rescue or deliver"")', 'REDEMPTION', 'RESCUE', 'SAFE (as in ""not harmed"")', 'SAFETY', 'SALVATION', 'SAVE (as in ""rescue"")', 'SECURE']",
2096,left+wing,sign/left+wing/12272/1,,[],
2097,left-handed,sign/left-handed/6875/1,Are you right handed or left handed?,"['LEFT HAND', 'LEFTY', 'SOUTHPAW']",Synset('left-handed.a.01')
2098,leftover,sign/leftover/3781/1,I give the leftover turkey to my 4 cats.,"['REMAIN (as in ""leftover food"")', 'REMAINDER (as in ""math"")']",Synset('leftover.s.01')
2099,leftover,sign/leftover/9729/1,,"['ABANDON', 'CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""leave behind"")', 'LEFT (as in ""remain"")', 'REMAIN (as in ""left"")']",
2100,lefty,sign/lefty/9861/1,,"['LEFT HAND', 'LEFT-HANDED', 'SOUTHPAW']",
2101,leg,sign/leg/1691/1,,[],
2102,legal,sign/legal/3782/1,,"['COMMAND (as in ""a commandment"")', 'COMMANDMENT', 'IN-LAW (as in ""family relation"")', 'LAW', 'LEGITIMATE', 'ORDINANCE', 'STATUTE']",
2103,legend,sign/legend/1692/1,,[],
2104,legislator,sign/legislator/11515/1,,['LEGISLATURE'],
2105,legislature,sign/legislature/1693/1,,[],
2106,legitimate,sign/legitimate/3783/1,,"['COMMAND (as in ""a commandment"")', 'COMMANDMENT', 'IN-LAW (as in ""family relation"")', 'LAW', 'LEGAL', 'ORDINANCE', 'STATUTE']",
2107,legs,sign/legs/14637/1,My legs are sore after running 10 miles yesterday.,[],Synset('stage.n.06')
2108,legs+straight+out+in+front+of+you,sign/legs+straight+out+in+front+of+you/10895/1,,['RECLINE'],
2109,leisure,sign/leisure/1694/1,,"['APPRECIATE', 'APPRECIATION', 'DELIGHT', 'ENJOY', 'EXTRACURRICULAR (as in ""after school activities"")', 'HOBBY', 'LOVE (as in ""crazy about"")', 'LOVE (as in ""to enjoy"")', 'LOVE IT', 'PLEASURE', 'RECREATION']",
2110,lemon,sign/lemon/1695/1,,[],
2111,lemonade,sign/lemonade/1696/1,,[],
2112,lend,sign/lend/3785/1,,"['BORROW (as in ""someone lets you borrow something from them"")', 'CHECK OUT (as in ""verb: the process to borrow something"")', 'LOAN (as in ""someone gives you a loan"")']",
2113,lend,sign/lend/3784/1,,"['BORROW (as in ""you let someone borrow something of yours"")', 'LOAN (as in ""you loan something to someone else"")']",
2114,length,sign/length/1697/1,,['WIDTH'],
2115,lenient,sign/lenient/3787/1,,"['CONVENIENT', 'EASY', 'EASY PEASY', 'PIECE OF CAKE', 'SIMPLE (as in ""easy"")']",
2116,lens,sign/lens/9255/1,,"['LENS (as in ""glasses lens"")', 'LENS (as in ""camera lens"")']",
2117,lens,sign/lens/1698/1,,"['LENS (as in ""contact lens"")', 'LENS (as in ""camera lens"")']",
2118,lens,sign/lens/12074/1,,"['LENS (as in ""contact lens"")', 'LENS (as in ""glasses lens"")']",
2119,lent,sign/lent/7329/1,,[],
2120,leo,sign/leo/12935/1,,"['LEO (as in ""the name"")']",
2121,leo,sign/leo/12936/1,Leo is my best friend.,"['LEO (as in ""the astrological sign"")']",Synset('leo.n.03')
2122,leopard,sign/leopard/5305/1,,[],
2123,leprechaun,sign/leprechaun/14410/1,,['ELF'],
2124,leroy+colombo,sign/leroy+colombo/14720/1,LeRoy Colombo was the first Deaf lifeguard. He saved 907 people.,[],
2125,less,sign/less/5224/1,,"['BELOW', 'UNDER']",
2126,less,sign/less/1701/1,,"['DECREASE', 'DIMINISH', 'DWINDLE', 'LESSEN', 'REDUCE', 'SHRINK (as in ""something shrinks"")']",
2127,lessen,sign/lessen/3788/1,,"['DECREASE', 'DECREMENT', 'DIMINISH', 'DWINDLE', 'LESS (as in ""an amount"")', 'LOSE WEIGHT', 'REDUCE', 'REDUCTION']",
2128,lesson,sign/lesson/1702/1,My daughter takes dance lessons every Saturday morning.,"['COURSE (as in ""class"")', 'EXERCISE (as in ""an activity or lesson- mental exercise"")', 'SUBJECT (as in ""lesson"")']",Synset('lesson.n.01')
2129,let,sign/let/1705/1,,"['ALLOW', 'ENABLE', 'GRANT', 'METHOD', 'PERMISSION', 'PERMIT (as in ""permission"")', 'PRIVILEGE (as in ""to allow"")', 'TECHNIQUE', 'WAY (as in ""a road or address"")']",
2130,let+down,sign/let+down/12971/1,,"['BLUE (as in ""feeling sad"")', 'DEPRESS', 'DEPRESSANT', 'DEPRESSED', 'DEPRESSION', 'DESPAIR', 'GLOOMY (as in ""sad"")', 'MOPE']",
2131,let+know,sign/let+know/9472/1,,"['INFORM (as in ""inform multiple people"")', 'INFORMATION (as in ""to provide information to multiple people"")', 'NEWS (as in ""to provide news to multiple people"")', 'NOTIFY (as in ""notify multiple people"")', 'RELAY (as in ""to inform multiple people"")']",
2132,let+know,sign/let+know/6644/1,,"['ALERT (as in ""inform one person"")', 'INFORM (as in ""inform one person"")', 'INFORMATION (as in ""to provide information to one person"")', 'NEWS (as in ""to provide news to one person"")', 'NOTIFY (as in ""notify one person"")', 'RELAY (as in ""to inform one person"")']",
2133,let+me+know,sign/let+me+know/833/1,,"['ALERT ME', 'GIVE ME INFORMATION (as in ""to inform me"")', 'GIVE ME NEWS (as in ""to inform me"")', 'INFORM (as in ""to inform me"")', 'NOTIFY ME']",
2134,let+me+see,sign/let+me+see/240/1,,"[""LET'S SEE"", 'PLAY IT BY EAR (as in ""go with the flow"")', 'SNEAK PEAK']",
2135,let+your+hair+down,sign/let+your+hair+down/12711/1,,"['CAREFREE', 'CASUAL (as in ""laid back"")', 'EASY GOING', 'GO WITH THE FLOW', 'GOOD NATURED', 'LAID BACK', 'LOAF (as in ""lazy"")', 'VEG (as in ""to relax"")']",
2136,lets+go,sign/lets+go/239/1,,"['AWAY', 'DEPARTURE', 'GET AWAY', 'GO (as in ""go away or gone away"")', 'GO (as in ""to go, but not naming a specific place"")', 'GO OUT', 'GONE (as in ""leave"")', 'LEAVE (as in ""depart"")', 'OFF (as in ""to take off or leave"")', 'OUT (as in ""opposite of in"")', 'PART (as in ""to go"")', 'TAKE OFF (as in ""to leave"")']",
2137,lets+go,sign/lets+go/12961/1,,"['GET ROLLING', 'GET THE LEAD OUT', 'HASTE', 'HURRY (as in ""to move or act quickly"")', 'HURRY UP (as in ""to move or act quickly"")', 'HUSTLE (as in ""to hurry"")', 'RUSH (as in ""to hurry or hustle"")']",
2138,lets+see,sign/lets+see/1704/1,,"['LET ME SEE', 'PLAY IT BY EAR (as in ""go with the flow"")', 'SNEAK PEAK']",
2139,lets+throw+some+light+on+the+subject,sign/lets+throw+some+light+on+the+subject/9915/1,,['EXPLAIN'],
2140,letter,sign/letter/1706/1,,"['ABC', 'ALPHABET']",
2141,letter,sign/letter/1707/1,I need to mail my letter.,"['EPISTLE', 'MAIL']",Synset('letter.n.01')
2142,letter+carrier,sign/letter+carrier/10276/1,,"['MAIL CARRIER', 'MAIL PERSON', 'MAIL WOMAN', 'MAILMAN', 'POSTAL CARRIER', 'POSTAL WORKER', 'POSTMAN', 'POSTWOMAN']",
2143,lettuce,sign/lettuce/1708/1,,[],
2144,level,sign/level/8178/1,Martin Belsky was a deaf man from Michigan who was a leader of deaf sports at the local and national level.,"['LEVEL (as in ""to maintain the same position"")']",Synset('tied.s.05')
2145,level,sign/level/8177/1,,[],
2146,level,sign/level/12975/1,,"['SUSTAIN', 'SUSTAINABILITY', 'SUSTAINABLE']",
2147,lever,sign/lever/6874/1,,[],
2148,liability,sign/liability/3791/1,,"['BEAR (as in ""tolerate"")', 'BURDEN', 'OBLIGATION', 'RESPONSIBILITY']",
2149,liability,sign/liability/12869/1,,"['MINUS', 'NEGATIVE (as in ""subtract"")', 'SUBTRACT (as in ""deduct an amount"")', 'SUBTRACT (as in ""the math symbol for subtract, -"")']",
2150,liar,sign/liar/8159/1,,[],
2151,liar+liar+pants+on+fire,sign/liar+liar+pants+on+fire/14317/1,,"['CHRONIC LIAR', 'CONTINUALLY LYING (as in ""lying a lot"")', 'DUPLICITOUS', 'LIAR', 'LIE (as in ""not the truth"")', 'LYING A LOT (as in ""lying a lot"")', 'PATHOLOGICAL LIAR']",
2152,liberal,sign/liberal/10086/1,,['OPEN MINDED'],
2153,liberal,sign/liberal/1709/1,,[],
